Origin,Dest,flights,delay_rate,avg_arr_delay,avg_risk,distance,route_share_to_dest,route_share_from_origin
ATL,AUS,931,0.21697099892588614,9.848549946294307,0.2089876603335391,813.0,0.06251678753693259,0.026931643958459893
ATL,BNA,858,0.13403263403263405,8.031468531468532,0.13749318857251405,214.0,0.05224698575082207,0.02481992536665799
ATL,BOS,1031,0.1454898157129001,9.250242483026188,0.15570757350176256,946.0,0.0439115805613527,0.029824409152709074
ATL,BWI,1338,0.18310911808669655,10.801943198804185,0.17000999493653934,577.0,0.10716001922152811,0.03870519829905406
ATL,CLT,1138,0.1274165202108963,8.125659050966608,0.14069649377174362,226.0,0.05309321638518242,0.0329196679105557
ATL,DAL,720,0.17777777777777778,9.455555555555556,0.17413886839163834,721.0,0.0807899461400359,0.020827909398594115
ATL,DCA,1681,0.16894705532421178,11.217132659131469,0.1535365387807957,547.0,0.0943851768669287,0.04862738291532876
ATL,DEN,1413,0.15711252653927812,8.551309271054494,0.15741201868449942,1199.0,0.045237714102769326,0.040874772194740956
ATL,DFW,1474,0.2645861601085482,19.73609226594301,0.23742217338046614,731.0,0.0535279805352798,0.042639358963232954
ATL,DTW,1179,0.1967769296013571,10.682782018659882,0.17950957245230928,594.0,0.06815422856812532,0.03410570164019786
ATL,EWR,1353,0.1433850702143385,9.685883222468588,0.13837885303290626,746.0,0.07326979313332611,0.03913911307819144
ATL,FLL,2131,0.25340215861098075,17.093383388080714,0.2091939061564348,581.0,0.11759187727623882,0.06164482628945009
ATL,IAH,1014,0.19822485207100593,14.655818540433925,0.186058787088978,689.0,0.05565618310554915,0.029332639069686712
ATL,JFK,723,0.2268326417704011,19.96542185338866,0.17979646681699643,760.0,0.041789491936882264,0.02091469235442159
ATL,LAS,1122,0.22994652406417113,15.177361853832442,0.22919287840466745,1747.0,0.0456134645093097,0.03245682547947583
ATL,LAX,1160,0.19913793103448277,11.552586206896551,0.16059476548355406,1947.0,0.0398406374501992,0.03355607625329052
ATL,LGA,1901,0.1557075223566544,11.647553918990006,0.14847180772104188,762.0,0.09329145605339353,0.054991466342676966
ATL,MCO,2325,0.25763440860215053,16.7505376344086,0.21103966708729618,404.0,0.08477975495915986,0.0672567907662935
ATL,MDW,796,0.16080402010050251,11.18467336683417,0.16751665662019485,591.0,0.0776282426370197,0.023026410946223496
ATL,MIA,1808,0.28982300884955753,23.648783185840706,0.2548888278861913,594.0,0.08538370720188902,0.052301194712025226
ATL,MSP,856,0.10514018691588785,7.16588785046729,0.11529741495875931,907.0,0.05651284082656632,0.024762070062773006
ATL,ORD,1272,0.1871069182389937,15.56996855345912,0.15473665046559912,606.0,0.04147375285295077,0.0367959732708496
ATL,PHL,1277,0.16914643696162882,9.764291307752545,0.15811800668644171,666.0,0.08677629790703996,0.036940611530562065
ATL,PHX,866,0.20092378752886836,12.734411085450347,0.18344725487685878,1587.0,0.034583283415199076,0.025051346582197924
ATL,SAN,452,0.11061946902654868,5.274336283185841,0.12463792038711259,1892.0,0.032015866270009914,0.013075298678006306
ATL,SEA,677,0.10487444608567208,6.644017725258493,0.12559640016735088,2182.0,0.03935817685018313,0.019584020365066967
ATL,SFO,612,0.25980392156862747,16.48856209150327,0.19865656848972701,2139.0,0.031688499974110704,0.017703722988804998
ATL,SLC,759,0.14756258234519104,6.894598155467721,0.14000960779876234,1590.0,0.04758322362234343,0.021956087824351298
ATL,TPA,1702,0.24676850763807284,15.897767332549941,0.19818965126397417,406.0,0.1103046014257939,0.049234863606121095
AUS,ATL,928,0.12607758620689655,7.470905172413793,0.1493254541516685,813.0,0.026838649969632995,0.06246634356488961
AUS,BNA,520,0.21153846153846154,12.196153846153846,0.22719376594916846,756.0,0.03166483984898307,0.03500269251480883
AUS,BOS,310,0.22903225806451613,17.506451612903227,0.2503084076910973,1698.0,0.013203288044635633,0.020866989768443728
AUS,BWI,275,0.14545454545454545,7.527272727272727,0.1868555798315089,1342.0,0.02202466762774307,0.01851103931071621
AUS,CLT,453,0.19646799116997793,15.324503311258278,0.2063436018331163,1032.0,0.02113464588970794,0.030492730210016156
AUS,DAL,634,0.15457413249211358,9.037854889589905,0.17654961078853593,189.0,0.07114003590664272,0.04267635971997846
AUS,DCA,89,0.1348314606741573,6.820224719101123,0.1934397660902756,1315.0,0.004997192588433464,0.005990845449649973
AUS,DEN,1043,0.17545541706615533,11.883988494726749,0.18814029179511443,775.0,0.03339202817352329,0.07020732364028003
AUS,DFW,1216,0.25493421052631576,29.67516447368421,0.2576619881515471,190.0,0.04415876820278171,0.08185245018847603
AUS,DTW,259,0.09652509652509653,6.984555984555985,0.12651108759918359,1149.0,0.014971963697323544,0.01743403338718363
AUS,EWR,409,0.1198044009779951,10.486552567237164,0.12580650422498232,1504.0,0.02214881403660782,0.027530963920301563
AUS,FLL,376,0.3271276595744681,20.65691489361702,0.28043368427074794,1105.0,0.020748261781260345,0.025309639203015617
AUS,IAH,502,0.16334661354581673,10.93227091633466,0.16336138293607355,140.0,0.027553652780064768,0.03379106085083468
AUS,JFK,592,0.24155405405405406,20.491554054054053,0.22288323279989736,1521.0,0.03421767527888561,0.03984921917070544
AUS,LAS,806,0.29156327543424315,19.57940446650124,0.3215948619133383,1090.0,0.03276689161720465,0.05425417339795369
AUS,LAX,936,0.2329059829059829,14.072649572649572,0.23149071233566662,1242.0,0.03214727297705729,0.0630048465266559
AUS,MCO,721,0.23578363384188628,16.16504854368932,0.2102184259656197,994.0,0.026290840140023336,0.04853257942918686
AUS,MDW,309,0.15210355987055016,6.789644012944984,0.17787861568514757,972.0,0.03013458162668227,0.02079967689822294
AUS,MIA,480,0.28541666666666665,18.408333333333335,0.24874217591355732,1103.0,0.022668240850059033,0.03231017770597738
AUS,MSP,312,0.1346153846153846,12.791666666666666,0.12973996128370072,1042.0,0.02059813824519707,0.0210016155088853
AUS,ORD,672,0.13392857142857142,12.995535714285714,0.16029632765799726,977.0,0.021910661884577763,0.045234248788368334
AUS,PHL,235,0.17446808510638298,23.795744680851065,0.21074722829688172,1430.0,0.015969013318836642,0.01581852450188476
AUS,PHX,892,0.22869955156950672,21.207399103139014,0.2626857226920878,872.0,0.035621580607803204,0.060043080236941306
AUS,SAN,409,0.23227383863080683,11.168704156479217,0.25832976324243584,1164.0,0.028970109080606318,0.027530963920301563
AUS,SEA,361,0.1634349030470914,10.592797783933518,0.18698659272917048,1770.0,0.020987151909772687,0.024299946149703825
AUS,SFO,435,0.3425287356321839,25.919540229885058,0.31491913643334557,1504.0,0.02252368870708849,0.029281098546042002
AUS,SLC,390,0.1641025641025641,9.86923076923077,0.16996564055912236,1086.0,0.02444987775061125,0.026252019386106624
AUS,TPA,292,0.24315068493150685,19.616438356164384,0.28509434909409515,928.0,0.018924173687621518,0.019655358104469573
BNA,ATL,840,0.1130952380952381,9.386904761904763,0.12938185106918587,214.0,0.0242936055759609,0.051250762660158634
BNA,AUS,512,0.189453125,10.025390625,0.20559060434416424,756.0,0.034380875637926404,0.0312385600976205
BNA,BOS,482,0.17219917012448133,13.224066390041493,0.18350132024453544,942.0,0.020528983346820563,0.029408175716900548
BNA,BWI,418,0.14354066985645933,10.322966507177034,0.18114579682174758,587.0,0.03347749479416947,0.025503355704697986
BNA,CLT,903,0.2713178294573643,19.296788482834994,0.22344076503264554,328.0,0.04212932723709994,0.05509456985967053
BNA,DAL,518,0.1583011583011583,11.353281853281853,0.1829658878550876,623.0,0.058123877917414725,0.03160463697376449
BNA,DCA,974,0.15811088295687886,11.181724845995893,0.17624371646406178,562.0,0.05468837731611454,0.05942647956070775
BNA,DEN,920,0.17065217391304346,14.35,0.1870267699822332,1014.0,0.029454137986233392,0.05613178767541183
BNA,DFW,802,0.25561097256857856,34.10224438902743,0.2577406686635751,631.0,0.0291244507390057,0.04893227577791336
BNA,DTW,480,0.15833333333333333,11.664583333333333,0.18992032920839522,456.0,0.027747268628244406,0.02928615009151922
BNA,EWR,392,0.09183673469387756,21.255102040816325,0.1300644613836119,748.0,0.02122820318423048,0.023917022574740696
BNA,FLL,611,0.22913256955810146,13.991816693944353,0.19955925885324813,793.0,0.03371592539454806,0.03727882855399634
BNA,IAH,513,0.18323586744639375,12.580896686159845,0.18659740201840766,657.0,0.028157418080026347,0.031299572910311164
BNA,JFK,442,0.17873303167420815,17.305429864253394,0.15233772596247544,765.0,0.02554765620484365,0.026967663209273948
BNA,LAS,425,0.1976470588235294,11.99764705882353,0.20390029168319335,1587.0,0.017277827465647613,0.02593044539353264
BNA,LAX,465,0.17204301075268819,23.191397849462366,0.16355003435850649,1797.0,0.015970600357191923,0.028370957901159243
BNA,LGA,936,0.19230769230769232,15.30982905982906,0.17052575875649306,764.0,0.04593414143396967,0.05710799267846248
BNA,MCO,768,0.2526041666666667,16.966145833333332,0.24458869007726294,616.0,0.028004667444574097,0.04685784014643075
BNA,MDW,418,0.13875598086124402,10.038277511961722,0.1742522601220885,395.0,0.04076457967622391,0.025503355704697986
BNA,MIA,731,0.280437756497948,21.127222982216143,0.25890429249245195,806.0,0.03452184179456907,0.04460036607687615
BNA,MSP,344,0.09883720930232558,11.17732558139535,0.11740046007793915,695.0,0.022710767808807025,0.020988407565588774
BNA,ORD,1047,0.1623686723973257,14.213944603629418,0.16328324276132833,409.0,0.03413759373981089,0.0638804148871263
