indicator,criterion,label,type,ahp_weight,entropy_weight,combined_weight
cumulative_delay,运行效率,累计总延误,cost,0.1481481481481481,0.0645060730155737,0.1397839406348907
avg_delay,运行效率,平均延误,cost,0.1111111111111111,0.0645060726792017,0.1064506072679201
recovery_time,运行效率,恢复时间,cost,0.1296296296296296,0.0796863374416558,0.1246353004108322
min_performance,网络韧性,最低性能,benefit,0.1296296296296296,0.0743049470516247,0.1240971613718291
loss_area,网络韧性,恢复损失面积,cost,0.1111111111111111,0.0645060722482879,0.1064506072248288
spread_range,网络韧性,传播范围,cost,0.0925925925925926,0.0891894098574396,0.0922522743190773
delay_flight_ratio,航班影响,延误航班比例,cost,0.0925925925925926,0.0645060629521127,0.0897839396285446
cancel_proxy,航班影响,取消代理数量,cost,0.0555555555555555,0.0,0.05
strategy_cost,经济性,相对策略成本,cost,0.074074074074074,0.258176957078458,0.0924843623745124
complexity,可实施性,策略复杂度,cost,0.0555555555555555,0.2406180676756456,0.0740618067675645
