airport,departures,delay_rate,avg_delay,avg_risk,arrivals,weighted_degree,in_weighted_degree,out_weighted_degree,betweenness,pagerank,closeness,criticality
DEN,17687,0.25504607904110366,17.040085938825126,0.26670511556579324,17629,35316.0,17629.0,17687.0,0.0029970029970029974,0.07801932663443589,1.0,0.9151877331092755
DFW,16618,0.2694668431820917,20.28577446142737,0.257934998056664,16585,33203.0,16585.0,16618.0,0.0029970029970029974,0.07407880320793916,1.0,0.8939480446230823
LAX,17755,0.23244156575612504,16.54159391720642,0.22973488760441083,17761,35516.0,17761.0,17755.0,0.0029970029970029974,0.07866841063852817,1.0,0.7759134022888594
MCO,15716,0.2577627895138712,19.650547213031306,0.21945097384129772,15725,31441.0,15725.0,15716.0,0.0029970029970029974,0.07096772962418182,1.0,0.7458984650633187
LAS,14766,0.23743735608831099,17.19409454151429,0.23990998109669517,14780,29546.0,14780.0,14766.0,0.0029970029970029974,0.06672189093291303,1.0,0.7186157666836265
ORD,18912,0.21314509306260576,16.485300338409477,0.2081300210610046,18895,37807.0,18895.0,18912.0,0.0029970029970029974,0.08336225895566962,1.0,0.7153682013396983
CLT,12063,0.23800049738870926,16.72627041366161,0.230414807390655,12076,24139.0,12076.0,12063.0,0.0029970029970029974,0.05661774621892462,1.0,0.6125647141891404
PHX,14963,0.21038561785738155,14.278687428991512,0.2141462822752721,14962,29925.0,14962.0,14963.0,0.0029970029970029974,0.06753467012844536,1.0,0.6001305753587639
ATL,18025,0.1892371705963939,12.696699029126213,0.17838779876346997,18093,36118.0,18093.0,18025.0,0.0029970029970029974,0.08020540153409597,1.0,0.5606820127194547
SFO,12464,0.2751925545571245,21.196084724005136,0.24527868178170575,12452,24916.0,12452.0,12464.0,0.0,0.05782569306791585,0.9333333333333333,0.4968653495336611
BOS,14572,0.17053252813615152,13.670052154817459,0.1665750440064494,14606,29178.0,14606.0,14572.0,0.0029970029970029974,0.06684664231570123,1.0,0.3810981210589981
DCA,10910,0.1756186984417965,15.488817598533455,0.1745341246002648,10888,21798.0,10888.0,10910.0,0.0029970029970029974,0.05188883430301737,1.0,0.2976377958550472
SEA,11788,0.21700033932813032,15.622751951136749,0.22712205961093393,11784,23572.0,11784.0,11788.0,0.0,0.05514813745620336,0.9333333333333333,0.2975176340487749
EWR,11467,0.18557600069765415,14.254730967123049,0.17827326954201317,11470,22937.0,11470.0,11467.0,0.0,0.05398069916944664,0.9333333333333333,0.09706175893736287
LGA,12529,0.1669726235134488,14.666533641950675,0.1630656241933043,12529,25058.0,12529.0,12529.0,0.0,0.058133755812581976,0.8235294117647058,0.05058110472381905
