indicator,criterion,label,type,ahp_weight,entropy_weight,combined_weight
cumulative_delay,运行效率,累计总延误,cost,0.14814814814814814,0.06570807580782752,0.13990414091411607
avg_delay,运行效率,平均延误,cost,0.11111111111111112,0.06570807557351331,0.10657080755735134
recovery_time,运行效率,恢复时间,cost,0.12962962962962965,0.11664323804665312,0.12833099047133198
min_performance,网络韧性,最低性能,benefit,0.12962962962962965,0.084191438085435,0.12508581047521017
loss_area,网络韧性,恢复损失面积,cost,0.11111111111111112,0.0657080755329941,0.10657080755329941
spread_range,网络韧性,传播范围,cost,0.0925925925925926,0.0664636339499152,0.08997969672832486
delay_flight_ratio,航班影响,延误航班比例,cost,0.0925925925925926,0.06570806877537522,0.08990414021087087
cancel_proxy,航班影响,取消代理数量,cost,0.05555555555555556,0.05595446146697962,0.055595446146697966
strategy_cost,经济性,相对策略成本,cost,0.07407407407407407,0.19169084699249475,0.08583575136591613
complexity,可实施性,策略复杂度,cost,0.05555555555555556,0.22222408576881217,0.07222240857688121
