,ATL,BOS,CLT,DCA,DEN,DFW,EWR,LAS,LAX,LGA,MCO,ORD,PHX,SEA,SFO
ATL,0.1475178432590887,0.05209084212181831,0.08040238182408348,0.049394610869827285,0.012446841077675307,0.04334959490357374,0.06667011009190628,0.0015018143521853993,0.0002214159883273062,0.0,0.08335742734594989,0.06197770496845526,0.016583088453936322,0.004844886816973709,0.011534648468685202
BOS,0.07314554055235693,0.45193698651011194,0.0,0.052462976045398645,0.018591934124944514,0.0019426762849826576,0.06242773047540151,0.04190840039002042,0.0015165137693672432,0.02826071908895832,0.01656687958256788,0.041213041275402935,0.0,0.0,0.0
CLT,0.2331973926041229,0.02118254310277688,0.09482207228710308,0.008127751627794267,0.02862587503909807,0.037416843533191184,0.050173858632169145,0.019791655652100653,0.0030894388912891626,0.08420171159739986,0.06470977539709985,0.055200636242312265,0.006022956470085138,0.0,0.0283483323967511
DCA,0.02592805188266019,0.1343699113237083,0.05576450966646157,0.21305770162031065,0.02366228150016232,0.022974260836800844,0.0671388453023281,0.0,0.0,0.033263713944632664,0.034841946359497875,0.1032425521010324,0.023034762960041047,0.015883344713313766,0.01018900328191818
DEN,0.0,0.029832216204614334,0.06302473265202123,0.05533965940633864,0.21138080279044277,0.09919008572673428,0.0,0.12307820177615944,0.004966521661397078,0.0034198027913161892,0.012065039958762173,0.059338656915372615,0.061520470787508164,0.06889801062970316,0.009726372899978826
DFW,0.12497911538285526,0.0018590435757367004,0.05813360280030202,0.05154427072634806,0.05882852962505256,0.3728529860740692,0.0,0.07640451299204082,0.004288644830935674,0.02625740619730631,0.028845049083902657,0.11293684210748159,0.02247885708952107,0.014708695452396314,0.02583654519558068
EWR,0.11107668980894736,0.11898043943973927,0.0414732963886689,0.07292217572976437,0.0,0.01725311903708693,0.1870880857527765,0.00999582548124822,0.0011413941177814118,0.0,0.04718908418831443,0.09535897325778472,0.0,0.014114844825846743,0.0
LAS,0.15365641312025244,0.017471216052330353,0.03560808291028777,0.03508704536197681,0.055473035365977745,0.04262562170431053,0.0,0.3429553192661505,0.00916694861194317,0.0,0.0037296369970021698,0.0,0.11103194137134406,0.013197018609339327,0.07249822406875923
LAX,0.07252142433778037,0.013778322466775928,0.0,0.009947875469613798,0.06779436894000346,0.0,0.0,0.1386794687424722,0.001955521632638482,0.0018510044735756367,0.004358500791722162,0.022307132284613677,0.0441228037285453,0.0,0.09446959621940522
LGA,0.1267245716878451,0.1560911968548868,0.020808456935034674,0.09236893741382844,0.06769579175139696,0.0,0.0,0.0,0.0010926027790213373,0.16900254988389068,0.12645998493274385,0.13342175089328942,0.012892089884466771,0.0,0.0
MCO,0.2647981941630054,0.028538943103504175,0.13425135119574283,0.015250214552380112,0.0,0.04865495573157361,0.15200365240699992,0.015147871563444036,0.0028937389836301477,0.03742026289183725,0.308055488125141,0.07991335053399741,0.00037104809054763435,0.014216154934450758,0.01025543420902112
ORD,0.07747625262568295,0.03527770286191978,0.06267082410162582,0.06200867461662983,0.04184824758760557,0.06336634558479491,0.04678527135404587,0.01893286095429951,0.0035676029952722596,0.005088085520780344,0.008006131924916423,0.494231107084138,0.0,0.03650179355612494,0.007791696096860346
PHX,0.024016489376914744,0.03732431922644931,0.06400196836151154,0.03172009670348337,0.04998996694571985,0.04662671808445289,0.013175556348850252,0.13417279981904673,0.004185676297877817,0.0,0.0324407929256706,0.0,0.04098434247644992,0.04168528635636555,0.02929486574433409
SEA,0.10319489640478383,0.01715547062913148,0.030798963998984057,0.02191904953045655,0.05031755607245003,0.0,0.008779889146632571,0.064055615228922,0.0,0.0,0.0,0.060695888152614744,0.075938679169105,0.06415039043352315,0.029090446366300482
SFO,0.025023413585393523,0.006570450555298738,0.005342790327977453,0.0,0.09981310558144674,0.07051285789324872,0.008628324815220209,0.18365903790456428,0.019417204584959488,0.0,0.06451618941862285,0.0,0.069431354744336,0.031664661510785425,0.23070475837377769
