scenario,strategy,shock_airport,cumulative_delay,avg_delay,recovery_time,min_performance,loss_area,spread_range,delay_flight_ratio,cancel_proxy,strategy_cost,complexity
normal,baseline,DEN,343.71766243911395,0.9547712845530943,4,0.9302132036295648,0.4043737205166046,0,0.027279179558659838,0.0,0.0,1.0
normal,uniform_buffer,DEN,65.18300258100825,0.18106389605835627,1,0.9528014389236825,0.07668588538942145,0,0.005173254173095893,0.0,1088.6399999999999,2.0
normal,hub_priority,DEN,165.58994503563804,0.45997206954343905,2,0.9478747255882748,0.19481170004192716,0,0.013142059129812542,0.0,596.1599999999999,3.0
normal,dynamic_combo,DEN,55.70954033343651,0.15474872314843474,1,0.9556249683354472,0.0655406356863959,0,0.004421392089955278,0.0,730.752,4.0
peak,baseline,DEN,524.9920540581409,1.4583112612726135,6,0.9090825682745538,0.6176377106566365,1,0.041666036036360383,0.0,0.0,1.0
peak,uniform_buffer,DEN,135.90946460363944,0.3775262905656651,2,0.9401717281690238,0.1598934877689876,1,0.010786465444733289,0.0,1088.6399999999999,2.0
peak,hub_priority,DEN,262.36344951568003,0.728787359765778,4,0.9352450148336162,0.30866288178315315,1,0.02082249599330794,0.0,596.1599999999999,3.0
peak,dynamic_combo,DEN,114.67851652707438,0.3185514347974288,2,0.9429952575807886,0.134915901796558,1,0.009101469565640823,0.0,730.752,4.0
weather,baseline,DEN,1498.5347627394342,4.162596563165095,12,0.7708000181829282,1.762982073811099,5,0.11893133037614557,0.0,0.0,1.0
weather,uniform_buffer,DEN,697.9304955414782,1.938695820948551,7,0.8454625258658399,0.8210947006370332,4,0.05539130916995859,0.0,1088.6399999999999,2.0
weather,hub_priority,DEN,898.8600482359741,2.496833467322151,8,0.8316478287498688,1.0574824096893813,3,0.07133809906634715,0.0,596.1599999999999,3.0
weather,dynamic_combo,DEN,640.0080993888012,1.7778002760800031,7,0.8558957996740906,0.7529507051632954,4,0.05079429360228581,0.0,730.752,4.0
hub_failure,baseline,DEN,950.9500191352422,2.6415278309312282,9,0.8455522890546241,1.1187647283944027,1,0.07547222374089224,0.0,0.0,1.0
hub_failure,uniform_buffer,DEN,348.034773047792,0.9667632584660889,5,0.9095155554777958,0.4094526741738731,1,0.027621807384745397,0.0,1088.6399999999999,2.0
hub_failure,hub_priority,DEN,529.1226740829608,1.4697852057860021,6,0.8922520704220103,0.6224972636270127,1,0.0419938630224572,0.0,596.1599999999999,3.0
hub_failure,dynamic_combo,DEN,307.92477095630267,0.8553465859897297,5,0.9173534145580118,0.3622644364191796,1,0.024438473885420847,0.0,730.752,4.0
