scenario,strategy,shock_airport,cumulative_delay,avg_delay,recovery_time,min_performance,loss_area,spread_range,delay_flight_ratio,cancel_proxy,strategy_cost,complexity,topsis_score,rank_in_scenario
normal,baseline,DEN,343.71766243911395,0.9547712845530943,4,0.9302132036295648,0.4043737205166046,0,0.0272791795586598,0.0,0.0,1.0,0.823124525793592,1.0
normal,uniform_buffer,DEN,65.18300258100825,0.1810638960583562,1,0.9528014389236824,0.0766858853894214,0,0.0051732541730958,0.0,1088.64,2.0,0.6926232351138348,4.0
normal,hub_priority,DEN,165.58994503563804,0.459972069543439,2,0.9478747255882748,0.1948117000419271,0,0.0131420591298125,0.0,596.1599999999999,3.0,0.7425019317581742,2.0
normal,dynamic_combo,DEN,55.70954033343651,0.1547487231484347,1,0.9556249683354472,0.0655406356863959,0,0.0044213920899552,0.0,730.752,4.0,0.6979559815110662,3.0
peak,baseline,DEN,524.9920540581409,1.4583112612726137,6,0.9090825682745538,0.6176377106566365,1,0.0416660360363603,0.0,0.0,1.0,0.7095844816292778,1.0
peak,uniform_buffer,DEN,135.90946460363944,0.3775262905656651,2,0.9401717281690238,0.1598934877689876,1,0.0107864654447332,0.0,1088.64,2.0,0.6722732084833568,4.0
peak,hub_priority,DEN,262.36344951568003,0.728787359765778,4,0.9352450148336162,0.3086628817831531,1,0.0208224959933079,0.0,596.1599999999999,3.0,0.6948954548018327,2.0
peak,dynamic_combo,DEN,114.67851652707438,0.3185514347974288,2,0.9429952575807886,0.134915901796558,1,0.0091014695656408,0.0,730.752,4.0,0.6788901824128949,3.0
weather,baseline,DEN,1498.5347627394342,4.162596563165095,12,0.7708000181829282,1.762982073811099,5,0.1189313303761455,0.0,0.0,1.0,0.352775422875563,4.0
weather,uniform_buffer,DEN,697.9304955414782,1.938695820948551,7,0.8454625258658399,0.8210947006370332,4,0.0553913091699585,0.0,1088.64,2.0,0.44287360648319646,2.0
weather,hub_priority,DEN,898.8600482359741,2.496833467322151,8,0.8316478287498688,1.0574824096893811,3,0.0713380990663471,0.0,596.1599999999999,3.0,0.4035678848059796,3.0
weather,dynamic_combo,DEN,640.0080993888012,1.7778002760800031,7,0.8558957996740906,0.7529507051632954,4,0.0507942936022858,0.0,730.752,4.0,0.45429876925646256,1.0
hub_failure,baseline,DEN,950.9500191352422,2.641527830931228,9,0.8455522890546241,1.1187647283944029,1,0.0754722237408922,0.0,0.0,1.0,0.5276705392579527,4.0
hub_failure,uniform_buffer,DEN,348.034773047792,0.9667632584660888,5,0.9095155554777958,0.4094526741738731,1,0.0276218073847453,0.0,1088.64,2.0,0.6047122520180561,2.0
hub_failure,hub_priority,DEN,529.1226740829608,1.469785205786002,6,0.8922520704220103,0.6224972636270127,1,0.0419938630224572,0.0,596.1599999999999,3.0,0.5929624045081422,3.0
hub_failure,dynamic_combo,DEN,307.92477095630267,0.8553465859897297,5,0.9173534145580118,0.3622644364191796,1,0.0244384738854208,0.0,730.752,4.0,0.6147026409819933,1.0
