feature,importance
route_hist_delay_rate,0.011748582661444407
origin_hour_hist_delay_rate,0.010613148742380452
dest_hist_delay_rate,-0.009039511526694577
Dest,-0.013634585573959412
Reporting_Airline,-0.01562175818733258
origin_rolling_3h_volume,-0.01631772236070833
Distance,-0.016427176870374538
hour_sin,-0.01757977462717608
crs_dep_hour,-0.01895091717402253
Origin,-0.02001807893295926
CRSElapsedTime,-0.020020937424960805
origin_hist_delay_rate,-0.021234425072270302
DayOfWeek,-0.021697898354841927
airline_hist_delay_rate,-0.021803517499148328
is_weekend,-0.02259176096551785
dep_time_block,-0.022739455524509622
origin_rolling_3h_delay_rate,-0.022838186154081508
Month,-0.023146147797720007
month_sin,-0.023146147797720007
month_cos,-0.023146147797720007
hour_cos,-0.024407946813461423
