,ATL,AUS,BNA,BOS,BWI,CLT,DAL,DCA,DEN,DFW,DTW,EWR,FLL,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0.06216905087205948,0.03617799769738015,0.018526372510998968,0.0,0.007316307325052728,0.0454714724080358,0.04322440573646644,0.01078721006682176,0.0,0.0,0.02745481542907261,0.065449882570226,0.02539703309497178,0.0,0.0,0.0,0.0,0.0,0.06831034471277535,0.010030422389347543,0.04172856328401376,0.0,0.02475543089803226,0.03016574273045371,0.011606107539437964,0.0,0.008432244920460135,0.013435450247026845,0.0,0.025792949218690832
AUS,0.013792971387690868,0.07541456355040847,0.06311760858498502,0.02127117154752029,0.0,0.03558405443319852,0.05174657930345387,0.10078890516561491,0.008396238453017764,0.0895517654651708,0.0,0.02121567773538295,0.0003113461331570047,0.12908998232822436,0.0,0.04350346866838653,0.0,0.0,0.0,0.0,0.016231238208435143,0.002544233796032694,0.0330708014850903,0.0,0.024736538987836277,0.0,0.0029907279546405236,0.026576449192679926,0.014361731144979368,0.0
BNA,0.005822254378758578,0.13465987432918844,0.4968014992583182,0.0015341642744312897,0.1064183710497238,0.0,0.0,0.07230129557119452,0.03372792668419112,0.16843194405055492,0.0,0.08176182670210408,0.0,0.024486526431423267,0.0,0.0,0.0,0.0,0.0,0.0,0.010815615507724113,0.03413535896413041,0.1220596614540068,0.0,0.0,0.0,0.06206879444713441,0.0073661107134039405,0.03285402494867751,0.0001544429891507686
BOS,0.0,0.032314631480770635,0.0066069575025671685,0.480213145695983,0.012757891549563994,0.0,0.0,0.05191859059221435,0.008678288477189005,0.0,0.0030406119678152736,0.07248477082048708,0.04500451701444375,0.0,0.03991819459135873,0.013010607280560948,0.006568727407465966,0.0,0.0,0.0,0.0,0.006137920754390228,0.002421833477685673,0.01569922478608806,0.0,0.004707661230854121,0.006489981750935405,0.0,0.005928565589541986,0.003270721681892841
BWI,0.026498844991218694,0.03273906503361286,0.05503585463131673,0.08798919727340325,0.12759583066489824,0.004769146758508917,0.0,0.0,0.011977262751113642,0.005052645588224118,0.008977091525160685,0.0,0.09950944428060267,0.029613742356201535,0.0832990207942681,0.0,0.0,0.0,0.07957616562328229,5.024568403820707e-05,0.031078758796604346,0.0,0.015247466063679377,0.0,0.0,0.0,0.022223570171866085,0.025549437121743332,0.003551530628842211,0.05768826268513869
CLT,0.04744279790532144,0.015695080999469598,0.0004010510752823342,0.027325498193840437,0.029887318512651168,0.14208679979581723,0.05669849365184597,0.009661257976780623,0.0017171423193459775,0.04839297773379001,0.04090502464207572,0.04827249036290384,0.0443804861732021,0.001020220580139204,0.022186381416885705,0.014339701202382598,0.0,0.0018405681062991096,0.019776912092779243,0.0,0.014051984512943589,0.02773483387931,0.02244702413704647,0.0,0.0,0.016450180950948003,0.001457378310916025,0.02675881323791032,0.0,0.05427754927891075
DAL,0.0,0.004448502448807596,0.0,0.0,0.005285792638689663,0.041059683781492384,0.4119573698707568,0.03497755952534285,0.0,0.0,0.0,0.0,0.006618224086629541,0.06980028284013093,0.0,0.04235478548147114,0.007682601346570623,0.0,0.0021194001992349567,0.0024160337950550363,0.00159285646775407,0.002669470093984548,0.021075352706084807,0.0,0.0198833170711186,0.016835105682013934,0.0073917128696923285,0.015413168625696756,0.007148332344329812,0.0
DCA,0.002598597157513599,0.10087242560851489,0.08854263453967852,0.06291243626692793,0.0,0.00249218233697062,0.0,0.2845305412933077,0.0,0.0,0.026547518094205746,0.07029607409055931,0.025875671927362388,0.008666955053097143,0.00469858209432308,0.0,0.0,0.0015311730414606108,0.009516679624348403,0.004860406755428385,0.0,0.012472016803488143,0.033726785129437435,0.030886553314312587,0.009355010263402365,0.0,0.006350176142312111,0.0,0.0,0.0
DEN,0.0,0.02797266128614915,0.01344018956823122,0.01076083481312762,0.0,0.006327572023244449,0.0,0.006334461206619973,0.24119241898490562,0.08853125974792066,0.005753285890703048,0.0,0.0,0.10117857766949856,0.008045588992139854,0.06097159491983555,0.0,0.009752864898916663,0.0,0.0,0.0,0.009149587742646344,0.04500325987376899,0.03269004205013183,0.05465741313179704,0.002525183174907605,0.04992356039659148,0.02254291977200512,0.021021352201350624,0.05964326554001241
DFW,0.03835031694489547,0.09885730608882606,0.04013336771905724,0.0,0.0258227611884193,0.061067918113677476,0.0,0.008325377009950464,0.04771203963188644,0.33836810403549566,0.0,0.0,0.0,0.04881537519832777,0.0,0.042994552963466895,0.00692846411163536,0.001045159672108321,0.002770445573629292,0.004718012879837836,0.035492129468883256,0.0033240637430160393,0.053290840336067215,0.0,0.016777411569975635,0.023365614691648422,0.012679226694282238,0.00423036170000598,0.041561130606332285,0.004566511927827382
